source	target	source_genesymbol	target_genesymbol	istruelr	isphysical	issmallmolecule
P04083	P48039	ANXA1	MTNR1A	True	True	False
P04083	Q14831	ANXA1	GRM7	True	True	False
P04216	COMPLEX:P05106_P06756	THY1	ITGB3_ITGAV	False	False	False
P04216	COMPLEX:P05107_P11215	THY1	ITGB2_ITGAM	False	False	False
P04216	COMPLEX:P05107_P20702	THY1	ITGB2_ITGAX	False	False	False
P04439	A6NJW9	HLA-A	CD8B2	True	False	False
P04439	O75019	HLA-A	LILRA1	True	False	False
P04439	P01732	HLA-A	CD8A	True	True	False
P04439	P04234	HLA-A	CD3D	True	False	False
P04439	P04626	HLA-A	ERBB2	True	False	False
P04439	P09693	HLA-A	CD3G	True	False	False
P04439	P10966	HLA-A	CD8B	True	False	False
P04439	P43626	HLA-A	KIR2DL1	True	True	False
P04439	P43628	HLA-A	KIR2DL3	True	True	False
P04439	P43629	HLA-A	KIR3DL1	True	True	False
P04439	P43630	HLA-A	KIR3DL2	True	False	False
P04439	Q06481	HLA-A	APLP2	True	False	False
P04439	Q8N423	HLA-A	LILRB2	True	True	False
P04439	Q8NHL6	HLA-A	LILRB1	True	False	False
P04440	P01730	HLA-DPB1	CD4	True	False	False
P04440	P18627	HLA-DPB1	LAG3	False	False	False
P05067	O75509	APP	TNFRSF21	False	False	False
P05067	O75581	APP	LRP6	False	False	False
P05067	O95858	APP	TSPAN15	False	False	False
P05067	O95859	APP	TSPAN12	False	False	False
P05067	P04233	APP	CD74	False	False	False
P05067	P08138	APP	NGFR	False	False	False
P05067	P08865	APP	RPSA	False	True	False
P05067	P08913	APP	ADRA2A	False	False	False
P05067	P25090	APP	FPR2	False	False	False
P05067	P35052	APP	GPC1	False	False	False
P05067	P43116	APP	PTGER2	False	False	False
P05067	P43146	APP	DCC	False	True	False
P05067	P48039	APP	MTNR1A	False	False	False
P05067	P51693	APP	APLP1	False	False	False
P05067	P98155	APP	VLDLR	False	False	False
P05067	Q04721	APP	NOTCH2	False	False	False
P05067	Q06481	APP	APLP2	False	False	False
P05067	Q07954	APP	LRP1	False	True	False
P05067	Q14831	APP	GRM7	False	False	False
P05067	Q15109	APP	AGER	False	True	False
P05067	Q7Z4F1	APP	LRP10	False	False	False
P05067	Q92542	APP	NCSTN	False	False	False
P05107	P04216	ITGB2	THY1	False	True	False
P05107	Q15762	ITGB2	CD226	False	True	False
P05362	COMPLEX:P05107_P11215	ICAM1	ITGB2_ITGAM	True	True	False
P05362	COMPLEX:P05107_P20701	ICAM1	ITGB2_ITGAL	True	True	False
P05362	COMPLEX:P05107_P20702	ICAM1	ITGB2_ITGAX	True	True	False
P05362	P00533	ICAM1	EGFR	True	True	False
P05362	P01589	ICAM1	IL2RA	True	True	False
P05362	P15941	ICAM1	MUC1	True	True	False
P05362	P16150	ICAM1	SPN	True	True	False
P05362	P31785	ICAM1	IL2RG	True	True	False
P06239	COMPLEX:P01732_P10966	LCK	CD8A_CD8B	False	True	False
P06734	COMPLEX:P05106_P06756	FCER2	ITGB3_ITGAV	False	False	False
P06734	COMPLEX:P05107_P11215	FCER2	ITGB2_ITGAM	False	True	False
P06734	COMPLEX:P05107_P20702	FCER2	ITGB2_ITGAX	False	True	False
P06734	P20023	FCER2	CR2	False	False	False
P06756	P04216	ITGAV	THY1	False	True	False
P07355	O60603	ANXA2	TLR2	True	True	False
P07355	Q8WZ75	ANXA2	ROBO4	True	True	False
P07359	COMPLEX:P05107_P11215	GP1BA	ITGB2_ITGAM	False	False	False
P07996	COMPLEX:P05106_P06756	THBS1	ITGB3_ITGAV	True	True	False
P07996	COMPLEX:P05106_P08514	THBS1	ITGB3_ITGA2B	True	True	False
P07996	COMPLEX:P05556_P26006	THBS1	ITGB1_ITGA3	True	True	False
P07996	O00300	THBS1	TNFRSF11B	True	True	False
P07996	O75197	THBS1	LRP5	True	True	False
P07996	P13612	THBS1	ITGA4	True	True	False
P07996	P16671	THBS1	CD36	True	True	False
P07996	P18827	THBS1	SDC1	True	True	False
P07996	P23229	THBS1	ITGA6	True	True	False
P07996	Q07954	THBS1	LRP1	True	True	False
P07996	Q08722	THBS1	CD47	True	True	False
P07996	Q12913	THBS1	PTPRJ	True	True	False
P07996	Q8WTV0	THBS1	SCARB1	True	True	False
P08174	P17927	CD55	CR1	False	False	False
P08174	P48960	CD55	ADGRE5	False	False	False
P08174	Q9UHX3	CD55	ADGRE2	False	True	False
P08571	O00206	CD14	TLR4	False	False	False
P08571	P05107	CD14	ITGB2	False	True	False
P08571	P05556	CD14	ITGB1	False	True	False
P08571	P13612	CD14	ITGA4	False	True	False
P08571	Q15399	CD14	TLR1	False	False	False
P08571	Q9NR96	CD14	TLR9	False	False	False
P08571	Q9Y2C9	CD14	TLR6	False	False	False
P08582	P02786	MELTF	TFRC	False	False	False
P09326	P06729	CD48	CD2	True	True	False
P09326	Q9BZW8	CD48	CD244	True	True	False
P09603	P78324	CSF1	SIRPA	True	True	False
P09603	Q9NYQ7	CSF1	CELSR3	True	True	False
P10321	A6NJW9	HLA-C	CD8B2	True	False	False
P10321	O75019	HLA-C	LILRA1	True	False	False
P10321	P01732	HLA-C	CD8A	True	True	False
P10321	P04234	HLA-C	CD3D	True	False	False
P10321	P09693	HLA-C	CD3G	True	False	False
P10321	P10966	HLA-C	CD8B	True	False	False
P10321	P43626	HLA-C	KIR2DL1	True	True	False
P10321	P43627	HLA-C	KIR2DL2	True	False	False
P10321	P43628	HLA-C	KIR2DL3	True	True	False
P10321	P43629	HLA-C	KIR3DL1	True	True	False
P10321	P43632	HLA-C	KIR2DS4	True	True	False
P10321	Q14954	HLA-C	KIR2DS1	True	True	False
P10321	Q8N423	HLA-C	LILRB2	True	True	False
P10321	Q8N6C8	HLA-C	LILRA3	True	False	False
P10321	Q8N743	HLA-C	KIR3DL3	True	False	False
P10321	Q8NHL6	HLA-C	LILRB1	True	False	False
P10321	Q99466	HLA-C	NOTCH4	True	False	False
P10600	COMPLEX:P36896_P37173	TGFB3	ACVR1B_TGFBR2	True	True	False
P10600	COMPLEX:P36897_P37173	TGFB3	TGFBR1_TGFBR2	True	True	False
P10600	COMPLEX:P36897_P37173_Q04771	TGFB3	TGFBR1_TGFBR2_ACVR1	True	True	False
P10600	COMPLEX:P37173_Q04771	TGFB3	TGFBR2_ACVR1	True	True	False
P10600	COMPLEX:P37173_Q8NER5	TGFB3	TGFBR2_ACVR1C	True	True	False
P10600	P05106	TGFB3	ITGB3	True	True	False
P10600	P05556	TGFB3	ITGB1	True	True	False
P10600	P18084	TGFB3	ITGB5	True	True	False
P10600	P18564	TGFB3	ITGB6	True	True	False
P10600	P37023	TGFB3	ACVRL1	True	True	False
P10600	Q03167	TGFB3	TGFBR3	True	True	False
P10747	P33681	CD28	CD80	False	True	False
P10747	P42081	CD28	CD86	False	True	False
P12821	P30411	ACE	BDKRB2	False	False	False
P12821	P50052	ACE	AGTR2	False	False	False
P12830	COMPLEX:P05556_P17301	CDH1	ITGB1_ITGA2	False	False	False
P12830	COMPLEX:P26010_P38570	CDH1	ITGB7_ITGAE	False	True	False
P12830	O75197	CDH1	LRP5	False	True	False
P12830	P00533	CDH1	EGFR	False	True	False
P12830	P08069	CDH1	IGF1R	False	True	False
P12830	P10586	CDH1	PTPRF	False	True	False
P12830	P19022	CDH1	CDH2	False	True	False
P12830	P21860	CDH1	ERBB3	False	True	False
P12830	P28827	CDH1	PTPRM	False	True	False
P12830	Q96E93	CDH1	KLRG1	False	True	False
P13385	P27037	TDGF1	ACVR2A	False	False	False
P13385	P35052	TDGF1	GPC1	False	False	False
P13385	P36896	TDGF1	ACVR1B	False	False	False
P13385	Q13705	TDGF1	ACVR2B	False	False	False
P13385	Q8NER5	TDGF1	ACVR1C	False	False	False
P13591	O15394	NCAM1	NCAM2	False	True	False
P13591	P11362	NCAM1	FGFR1	False	True	False
P13591	P21802	NCAM1	FGFR2	False	True	False
P13591	P23471	NCAM1	PTPRZ1	False	True	False
P13591	P56159	NCAM1	GFRA1	False	True	False
P13591	Q96MS0	NCAM1	ROBO3	False	True	False
P13591	Q9Y6N7	NCAM1	ROBO1	False	True	False
P13598	COMPLEX:P05107_P11215	ICAM2	ITGB2_ITGAM	True	True	False
P13598	COMPLEX:P05107_P20701	ICAM2	ITGB2_ITGAL	True	True	False
P13688	P00533	CEACAM1	EGFR	False	True	False
P13688	Q8TDQ0	CEACAM1	HAVCR2	False	True	False
P13747	A6NJW9	HLA-E	CD8B2	True	False	False
P13747	COMPLEX:P26715_Q13241	HLA-E	KLRC1_KLRD1	True	False	False
P13747	COMPLEX:P26717_Q13241	HLA-E	KLRC2_KLRD1	True	False	False
P13747	COMPLEX:Q07444_Q13241	HLA-E	KLRC3_KLRD1	True	False	False
P13747	P01732	HLA-E	CD8A	True	True	False
P13747	P10966	HLA-E	CD8B	True	False	False
P13747	P26718	HLA-E	KLRK1	True	False	False
P13747	P43629	HLA-E	KIR3DL1	True	True	False
P13762	P01730	HLA-DRB4	CD4	False	False	False
P13762	P18627	HLA-DRB4	LAG3	False	False	False
P13765	P01730	HLA-DOB	CD4	True	False	False
P14151	O00592	SELL	PODXL	False	True	False
P14151	Q13477	SELL	MADCAM1	False	True	False
P14209	P60033	CD99	CD81	True	False	False
P14209	Q8TCZ2	CD99	CD99L2	True	False	False
P14209	Q9UKJ0	CD99	PILRB	True	False	False
P14209	Q9UKJ1	CD99	PILRA	True	False	False
P14555	P05106	PLA2G2A	ITGB3	True	True	False
P14555	P05556	PLA2G2A	ITGB1	True	True	False
P14555	P06756	PLA2G2A	ITGAV	True	True	False
P14555	P08648	PLA2G2A	ITGA5	True	True	False
P14555	P13612	PLA2G2A	ITGA4	True	True	False
P15813	Q8N423	CD1D	LILRB2	True	True	False
P15907	P00533	ST6GAL1	EGFR	False	False	False
P15907	P20273	ST6GAL1	CD22	False	True	False
P16150	Q9BZZ2	SPN	SIGLEC1	False	True	False
P16581	P13688	SELE	CEACAM1	False	True	False
P16581	P16070	SELE	CD44	False	True	False
P16581	Q92896	SELE	GLG1	False	True	False
P17693	A6NJW9	HLA-G	CD8B2	True	False	False
P17693	P01730	HLA-G	CD4	True	False	False
P17693	P01732	HLA-G	CD8A	True	True	False
P17693	P10966	HLA-G	CD8B	True	False	False
P17693	P26715	HLA-G	KLRC1	True	False	False
P17693	P43629	HLA-G	KIR3DL1	True	True	False
P17693	Q13241	HLA-G	KLRD1	True	False	False
P17693	Q8N423	HLA-G	LILRB2	True	True	False
P17693	Q8NHL6	HLA-G	LILRB1	True	False	False
P17693	Q99706	HLA-G	KIR2DL4	True	True	False
P19256	P06729	CD58	CD2	True	True	False
P19320	COMPLEX:P05107_Q13349	VCAM1	ITGB2_ITGAD	True	True	False
P19320	COMPLEX:P05556_P13612	VCAM1	ITGB1_ITGA4	True	True	False
P19320	COMPLEX:P05556_Q13797	VCAM1	ITGB1_ITGA9	True	True	False
P19320	COMPLEX:P13612_P26010	VCAM1	ITGA4_ITGB7	True	True	False
P20036	P01730	HLA-DPA1	CD4	True	False	False
P20036	P18627	HLA-DPA1	LAG3	False	False	False
P20273	P08575	CD22	PTPRC	False	True	False
P20827	P21709	EFNA1	EPHA1	True	True	False
P20827	P29317	EFNA1	EPHA2	True	True	False
P20827	P29320	EFNA1	EPHA3	True	True	False
P20827	P29322	EFNA1	EPHA8	True	True	False
P20827	P54756	EFNA1	EPHA5	True	True	False
P20827	P54762	EFNA1	EPHB1	True	True	False
P20827	P54764	EFNA1	EPHA4	True	True	False
P20827	Q15375	EFNA1	EPHA7	True	True	False
P20827	Q5JZY3	EFNA1	EPHA10	True	True	False
P20827	Q9UF33	EFNA1	EPHA6	True	True	False
P21583	P10721	KITLG	KIT	True	False	False
P21583	P19235	KITLG	EPOR	True	False	False
P22897	P08575	MRC1	PTPRC	False	True	False
P25189	O95297	MPZ	MPZL1	False	True	False
P28067	P01730	HLA-DMA	CD4	True	False	False
P28068	P01730	HLA-DMB	CD4	True	False	False
P28906	P14151	CD34	SELL	True	True	False
P28906	P16109	CD34	SELP	True	True	False
P29965	COMPLEX:P05106_P08514	CD40LG	ITGB3_ITGA2B	False	False	False
P29965	COMPLEX:P05107_P11215	CD40LG	ITGB2_ITGAM	True	True	False
P29965	COMPLEX:P05556_P08648	CD40LG	ITGB1_ITGA5	False	False	False
P29965	P25942	CD40LG	CD40	True	True	False
P30511	A6NJW9	HLA-F	CD8B2	True	False	False
P30511	P01732	HLA-F	CD8A	True	True	False
P30511	P10966	HLA-F	CD8B	True	False	False
P30511	P43629	HLA-F	KIR3DL1	True	True	False
P30511	P43630	HLA-F	KIR3DL2	True	False	False
P30511	Q14943	HLA-F	KIR3DS1	True	False	False
P30511	Q8N423	HLA-F	LILRB2	True	True	False
P30511	Q8NHL6	HLA-F	LILRB1	True	False	False
P31997	P13688	CEACAM8	CEACAM1	True	True	False
P32004	COMPLEX:P05106_P06756	L1CAM	ITGB3_ITGAV	True	True	False
P32004	COMPLEX:P05556_P08648	L1CAM	ITGB1_ITGA5	True	True	False
P32004	COMPLEX:P13612_P26010	L1CAM	ITGA4_ITGB7	False	False	False
P32004	P00533	L1CAM	EGFR	True	True	False
P32004	P04626	L1CAM	ERBB2	True	True	False
P32004	P21802	L1CAM	FGFR2	True	True	False
P32004	P21860	L1CAM	ERBB3	True	True	False
P32004	P23471	L1CAM	PTPRZ1	True	True	False
P32004	P29323	L1CAM	EPHB2	True	True	False
P32004	Q12860	L1CAM	CNTN1	True	True	False
P32942	COMPLEX:P05107_Q13349	ICAM3	ITGB2_ITGAD	True	True	False
P32942	P20701	ICAM3	ITGAL	True	True	False
P32942	Q9H2X3	ICAM3	CLEC4M	True	True	False
P33681	P10747	CD80	CD28	True	True	False
P33681	P16410	CD80	CTLA4	True	False	False
P34741	Q12913	SDC2	PTPRJ	False	True	False
P35070	COMPLEX:P00533_P04626	BTC	EGFR_ERBB2	True	False	False
P35070	COMPLEX:P04626_Q15303	BTC	ERBB2_ERBB4	True	False	False
P35070	P21860	BTC	ERBB3	True	False	False
P40199	P00533	CEACAM6	EGFR	True	True	False
P40199	P13688	CEACAM6	CEACAM1	True	True	False
P40200	P15151	CD96	PVR	False	True	False
P40200	Q15223	CD96	NECTIN1	False	True	False
P41217	Q6Q8B3	CD200	CD200R1L	True	True	False
P41217	Q8TD46	CD200	CD200R1	True	True	False
P41273	P15151	TNFSF9	PVR	True	True	False
P41273	P20036	TNFSF9	HLA-DPA1	True	False	False
P41273	Q07011	TNFSF9	TNFRSF9	True	False	False
P41273	Q14627	TNFSF9	IL13RA2	True	False	False
P41273	Q8IZF4	TNFSF9	ADGRG5	True	True	False
P42081	P10747	CD86	CD28	False	True	False
P42081	P16410	CD86	CTLA4	False	True	False
P43026	COMPLEX:O00238_P27037	GDF5	BMPR1B_ACVR2A	True	False	False
P43026	COMPLEX:O00238_Q13705	GDF5	BMPR1B_ACVR2B	True	False	False
P43026	COMPLEX:O00238_Q13873	GDF5	BMPR1B_BMPR2	True	False	False
P43026	COMPLEX:P27037_P36894	GDF5	ACVR2A_BMPR1A	True	False	False
P43026	COMPLEX:P36894_Q13705	GDF5	BMPR1A_ACVR2B	True	False	False
P43026	COMPLEX:P36894_Q13873	GDF5	BMPR1A_BMPR2	True	False	False
P43026	Q01974	GDF5	ROR2	True	False	False
P43026	Q04771	GDF5	ACVR1	True	False	False
P46379	O14931	BAG6	NCR3	True	False	False
P48023	O14763	FASLG	TNFRSF10B	True	False	False
P48023	O95407	FASLG	TNFRSF6B	True	False	False
P48023	P19438	FASLG	TNFRSF1A	True	False	False
P48023	P25445	FASLG	FAS	True	False	False
P49771	P36888	FLT3LG	FLT3	True	False	False
P50591	O00220	TNFSF10	TNFRSF10A	True	False	False
P50591	O00300	TNFSF10	TNFRSF11B	True	False	False
P50591	O14763	TNFSF10	TNFRSF10B	True	False	False
P50591	Q9UBN6	TNFSF10	TNFRSF10D	True	False	False
P52798	P21709	EFNA4	EPHA1	True	True	False
P52798	P29317	EFNA4	EPHA2	True	True	False
P52798	P29320	EFNA4	EPHA3	True	True	False
P52798	P29322	EFNA4	EPHA8	True	True	False
P52798	P54756	EFNA4	EPHA5	True	True	False
P52798	P54764	EFNA4	EPHA4	True	True	False
P52798	Q15375	EFNA4	EPHA7	True	True	False
P52798	Q5JZY3	EFNA4	EPHA10	True	True	False
P52798	Q9UF33	EFNA4	EPHA6	True	True	False
P52799	P16284	EFNB2	PECAM1	True	True	False
P52799	P29320	EFNB2	EPHA3	True	True	False
P52799	P29323	EFNB2	EPHB2	True	True	False
P52799	P41594	EFNB2	GRM5	True	True	False
P52799	P54753	EFNB2	EPHB3	True	True	False
P52799	P54760	EFNB2	EPHB4	True	True	False
P52799	P54762	EFNB2	EPHB1	True	True	False
P52799	P54764	EFNB2	EPHA4	True	True	False
P52799	Q13255	EFNB2	GRM1	True	True	False
P52799	Q9UF33	EFNB2	EPHA6	True	True	False
P52803	P21709	EFNA5	EPHA1	True	True	False
P52803	P29317	EFNA5	EPHA2	True	True	False
P52803	P29320	EFNA5	EPHA3	True	True	False
P52803	P29322	EFNA5	EPHA8	True	True	False
P52803	P29323	EFNA5	EPHB2	True	True	False
P52803	P54756	EFNA5	EPHA5	True	True	False
P52803	P54762	EFNA5	EPHB1	True	True	False
P52803	P54764	EFNA5	EPHA4	True	True	False
P52803	Q15375	EFNA5	EPHA7	True	True	False
P52803	Q5JZY3	EFNA5	EPHA10	True	True	False
P52803	Q9UF33	EFNA5	EPHA6	True	True	False
P56975	COMPLEX:P04626_Q15303	NRG3	ERBB2_ERBB4	True	False	False
P56975	P21860	NRG3	ERBB3	True	False	False
P57087	COMPLEX:P05556_P06756	JAM2	ITGB1_ITGAV	False	False	False
P57087	COMPLEX:P05556_P13612	JAM2	ITGB1_ITGA4	False	False	False
P57087	COMPLEX:P05556_P26006	JAM2	ITGB1_ITGA3	False	False	False
P58400	Q8N2Q7	NRXN1	NLGN1	False	True	False
P58400	Q8NFZ4	NRXN1	NLGN2	False	True	False
P58400	Q9NZ94	NRXN1	NLGN3	False	True	False
P58401	Q8N2Q7	NRXN2	NLGN1	False	True	False
P58401	Q8NFZ4	NRXN2	NLGN2	False	True	False
P58401	Q9NZ94	NRXN2	NLGN3	False	True	False
P61769	P02786	B2M	TFRC	False	False	False
P61769	P04234	B2M	CD3D	False	False	False
P61769	P06126	B2M	CD1A	False	False	False
P61769	P09693	B2M	CD3G	False	False	False
P61769	P20963	B2M	CD247	False	False	False
P61769	P26715	B2M	KLRC1	False	False	False
P61769	P26717	B2M	KLRC2	False	False	False
P61769	P43626	B2M	KIR2DL1	False	True	False
P61769	P43628	B2M	KIR2DL3	False	True	False
P61769	P43629	B2M	KIR3DL1	False	True	False
P61769	Q13241	B2M	KLRD1	False	False	False
P61769	Q8N423	B2M	LILRB2	False	True	False
P61769	Q8NHL6	B2M	LILRB1	False	False	False
P78310	Q86YT9	CXADR	JAML	False	True	False
P78324	Q08722	SIRPA	CD47	False	True	False
P78504	P15529	JAG1	CD46	True	True	False
P78504	P46531	JAG1	NOTCH1	True	True	False
P78504	Q04721	JAG1	NOTCH2	True	True	False
P78504	Q99466	JAG1	NOTCH4	True	True	False
P78504	Q9UM47	JAG1	NOTCH3	True	True	False
P78536	P05556	ADAM17	ITGB1	False	True	False
P78536	P08581	ADAM17	MET	False	True	False
P78536	P08648	ADAM17	ITGA5	False	True	False
P78536	P08887	ADAM17	IL6R	False	True	False
P78536	P15941	ADAM17	MUC1	False	True	False
P78536	P46531	ADAM17	NOTCH1	False	True	False
P78536	Q15303	ADAM17	ERBB4	False	True	False
P78536	Q6PJF5	ADAM17	RHBDF2	False	True	False
P79483	P01730	HLA-DRB3	CD4	False	False	False
P79483	P18627	HLA-DRB3	LAG3	False	False	False
P80370	P46531	DLK1	NOTCH1	True	True	False
P80370	Q04721	DLK1	NOTCH2	True	False	False
P80370	Q99466	DLK1	NOTCH4	True	False	False
P80370	Q9UM47	DLK1	NOTCH3	True	False	False
P98172	P04626	EFNB1	ERBB2	True	True	False
P98172	P29323	EFNB1	EPHB2	True	True	False
P98172	P54753	EFNB1	EPHB3	True	True	False
P98172	P54760	EFNB1	EPHB4	True	True	False
P98172	P54762	EFNB1	EPHB1	True	True	False
P98172	P54764	EFNB1	EPHA4	True	True	False
P98172	Q9UF33	EFNB1	EPHA6	True	True	False
Q02246	O14786	CNTN2	NRP1	True	True	False
Q02246	Q12860	CNTN2	CNTN1	True	True	False
Q02246	Q92823	CNTN2	NRCAM	True	True	False
Q02297	COMPLEX:P04626_P21860	NRG1	ERBB2_ERBB3	True	True	False
Q02297	COMPLEX:P04626_Q15303	NRG1	ERBB2_ERBB4	True	True	False
Q02297	COMPLEX:P05106_P06756	NRG1	ITGB3_ITGAV	False	False	False
Q02297	O94910	NRG1	ADGRL1	True	True	False
Q02297	P00533	NRG1	EGFR	True	True	False
Q02297	P04440	NRG1	HLA-DPB1	True	True	False
Q02297	P35052	NRG1	GPC1	True	True	False
Q02297	Q86X29	NRG1	LSR	True	True	False
Q02297	Q8NC67	NRG1	NETO2	True	True	False
Q02297	Q9BXB1	NRG1	LGR4	True	True	False
Q02413	Q14574	DSG1	DSC3	False	True	False
Q02487	P32926	DSC2	DSG3	True	True	False
Q02487	Q86SJ6	DSC2	DSG4	True	True	False
Q08554	P32926	DSC1	DSG3	True	True	False
Q08554	Q86SJ6	DSC1	DSG4	True	True	False
Q08722	P78324	CD47	SIRPA	False	True	False
Q08722	Q9P1W8	CD47	SIRPG	False	True	False
Q10589	P59901	BST2	LILRA4	True	False	False
Q12860	P23471	CNTN1	PTPRZ1	True	True	False
Q12860	P46531	CNTN1	NOTCH1	True	True	False
