ligand	receptor	ligand_uniprot	receptor_uniprot database
HLA-DRB1	LAG3	P01911	P18627	Liana_v0.1.12
HLA-DQB1	CD4	P01920	P01730	Liana_v0.1.12
HLA-DQB1	LAG3	P01920	P18627	Liana_v0.1.12
ANXA1	FPR2_FPR3	P04083	COMPLEX:P25089_P25090	Liana_v0.1.12
ANXA1	EGFR	P04083	P00533	Liana_v0.1.12
ANXA1	ADRA2A	P04083	P08913	Liana_v0.1.12
ANXA1	FPR1	P04083	P21462	Liana_v0.1.12;Cpdb_v4.1
ANXA1	MTNR1A	P04083	P48039	Liana_v0.1.12
ANXA1	GRM7	P04083	Q14831	Liana_v0.1.12
THY1	ITGAV_ITGB3	P04216	COMPLEX:P05106_P06756	Liana_v0.1.12
THY1	ITGAM_ITGB2	P04216	COMPLEX:P05107_P11215	Liana_v0.1.12
THY1	ITGAX_ITGB2	P04216	COMPLEX:P05107_P20702	Liana_v0.1.12
HLA-A	CD8B2	P04439	A6NJW9	Liana_v0.1.12
HLA-A	LILRA1	P04439	O75019	Liana_v0.1.12
HLA-A	CD8A	P04439	P01732	Liana_v0.1.12
HLA-A	CD3D	P04439	P04234	Liana_v0.1.12
HLA-A	ERBB2	P04439	P04626	Liana_v0.1.12
HLA-A	CD3G	P04439	P09693	Liana_v0.1.12
HLA-A	CD8B	P04439	P10966	Liana_v0.1.12
HLA-A	KIR2DL1	P04439	P43626	Liana_v0.1.12
HLA-A	KIR2DL3	P04439	P43628	Liana_v0.1.12
HLA-A	KIR3DL1	P04439	P43629	Liana_v0.1.12
HLA-A	KIR3DL2	P04439	P43630	Liana_v0.1.12
HLA-A	APLP2	P04439	Q06481	Liana_v0.1.12
HLA-A	LILRB2	P04439	Q8N423	Liana_v0.1.12
HLA-A	LILRB1	P04439	Q8NHL6	Liana_v0.1.12
HLA-DPB1	CD4	P04440	P01730	Liana_v0.1.12
HLA-DPB1	LAG3	P04440	P18627	Liana_v0.1.12
APP	TNFRSF21	P05067	O75509	Liana_v0.1.12;Cpdb_v4.1
APP	LRP6	P05067	O75581	Liana_v0.1.12
APP	TSPAN15	P05067	O95858	Liana_v0.1.12
APP	TSPAN12	P05067	O95859	Liana_v0.1.12
APP	CD74	P05067	P04233	Liana_v0.1.12;Cpdb_v4.1
APP	NGFR	P05067	P08138	Liana_v0.1.12
APP	RPSA	P05067	P08865	Liana_v0.1.12
APP	ADRA2A	P05067	P08913	Liana_v0.1.12
APP	FPR2	P05067	P25090	Liana_v0.1.12;Cpdb_v4.1
APP	GPC1	P05067	P35052	Liana_v0.1.12
APP	PTGER2	P05067	P43116	Liana_v0.1.12
APP	DCC	P05067	P43146	Liana_v0.1.12
APP	MTNR1A	P05067	P48039	Liana_v0.1.12
APP	APLP1	P05067	P51693	Liana_v0.1.12
APP	VLDLR	P05067	P98155	Liana_v0.1.12
APP	NOTCH2	P05067	Q04721	Liana_v0.1.12
APP	APLP2	P05067	Q06481	Liana_v0.1.12
APP	LRP1	P05067	Q07954	Liana_v0.1.12
APP	GRM7	P05067	Q14831	Liana_v0.1.12
APP	AGER	P05067	Q15109	Liana_v0.1.12
APP	LRP10	P05067	Q7Z4F1	Liana_v0.1.12
APP	NCSTN	P05067	Q92542	Liana_v0.1.12
ITGB2	THY1	P05107	P04216	Liana_v0.1.12
ITGB2	CD226	P05107	Q15762	Liana_v0.1.12
ICAM1	ITGAM_ITGB2	P05362	COMPLEX:P05107_P11215	Liana_v0.1.12
ICAM1	ITGAL_ITGB2	P05362	COMPLEX:P05107_P20701	Liana_v0.1.12
ICAM1	ITGAX_ITGB2	P05362	COMPLEX:P05107_P20702	Liana_v0.1.12
ICAM1	EGFR	P05362	P00533	Liana_v0.1.12
ICAM1	IL2RA	P05362	P01589	Liana_v0.1.12
ICAM1	MUC1	P05362	P15941	Liana_v0.1.12
ICAM1	SPN	P05362	P16150	Liana_v0.1.12
ICAM1	IL2RG	P05362	P31785	Liana_v0.1.12
LCK	CD8A_CD8B	P06239	COMPLEX:P01732_P10966	Liana_v0.1.12;Cpdb_v4.1
FCER2	ITGAV_ITGB3	P06734	COMPLEX:P05106_P06756	Liana_v0.1.12
FCER2	ITGAM_ITGB2	P06734	COMPLEX:P05107_P11215	Liana_v0.1.12
FCER2	ITGAX_ITGB2	P06734	COMPLEX:P05107_P20702	Liana_v0.1.12
FCER2	CR2	P06734	P20023	Liana_v0.1.12
ITGAV	THY1	P06756	P04216	Liana_v0.1.12
ANXA2	TLR2	P07355	O60603	Liana_v0.1.12
ANXA2	ROBO4	P07355	Q8WZ75	Liana_v0.1.12
GP1BA	ITGAM_ITGB2	P07359	COMPLEX:P05107_P11215	Liana_v0.1.12
THBS1	ITGAV_ITGB3	P07996	COMPLEX:P05106_P06756	Liana_v0.1.12
THBS1	ITGA2B_ITGB3	P07996	COMPLEX:P05106_P08514	Liana_v0.1.12
THBS1	ITGA3_ITGB1	P07996	COMPLEX:P05556_P26006	Liana_v0.1.12
THBS1	TNFRSF11B	P07996	O00300	Liana_v0.1.12
THBS1	LRP5	P07996	O75197	Liana_v0.1.12
THBS1	ITGA4	P07996	P13612	Liana_v0.1.12
THBS1	CD36	P07996	P16671	Liana_v0.1.12;Cpdb_v4.1
THBS1	SDC1	P07996	P18827	Liana_v0.1.12
THBS1	ITGA6	P07996	P23229	Liana_v0.1.12
THBS1	LRP1	P07996	Q07954	Liana_v0.1.12
THBS1	CD47	P07996	Q08722	Liana_v0.1.12
THBS1	PTPRJ	P07996	Q12913	Liana_v0.1.12
THBS1	SCARB1	P07996	Q8WTV0	Liana_v0.1.12
CD55	CR1	P08174	P17927	Liana_v0.1.12
CD55	ADGRE5	P08174	P48960	Liana_v0.1.12
CD55	ADGRE2	P08174	Q9UHX3	Liana_v0.1.12
CD14	TLR4	P08571	O00206	Liana_v0.1.12
CD14	ITGB2	P08571	P05107	Liana_v0.1.12
CD14	ITGB1	P08571	P05556	Liana_v0.1.12
CD14	ITGA4	P08571	P13612	Liana_v0.1.12
CD14	TLR1	P08571	Q15399	Liana_v0.1.12
CD14	TLR9	P08571	Q9NR96	Liana_v0.1.12
CD14	TLR6	P08571	Q9Y2C9	Liana_v0.1.12
MELTF	TFRC	P08582	P02786	Liana_v0.1.12
CD48	CD2	P09326	P06729	Liana_v0.1.12
CD48	CD244	P09326	Q9BZW8	Liana_v0.1.12;Cpdb_v4.1
CSF1	SIRPA	P09603	P78324	Liana_v0.1.12
CSF1	CELSR3	P09603	Q9NYQ7	Liana_v0.1.12
HLA-C	CD8B2	P10321	A6NJW9	Liana_v0.1.12
HLA-C	LILRA1	P10321	O75019	Liana_v0.1.12
HLA-C	CD8A	P10321	P01732	Liana_v0.1.12
HLA-C	CD3D	P10321	P04234	Liana_v0.1.12
HLA-C	CD3G	P10321	P09693	Liana_v0.1.12
HLA-C	CD8B	P10321	P10966	Liana_v0.1.12
HLA-C	KIR2DL1	P10321	P43626	Liana_v0.1.12
HLA-C	KIR2DL2	P10321	P43627	Liana_v0.1.12
HLA-C	KIR2DL3	P10321	P43628	Liana_v0.1.12
HLA-C	KIR3DL1	P10321	P43629	Liana_v0.1.12
HLA-C	KIR2DS4	P10321	P43632	Liana_v0.1.12
HLA-C	KIR2DS1	P10321	Q14954	Liana_v0.1.12
HLA-C	LILRB2	P10321	Q8N423	Liana_v0.1.12
HLA-C	LILRA3	P10321	Q8N6C8	Liana_v0.1.12
HLA-C	KIR3DL3	P10321	Q8N743	Liana_v0.1.12
HLA-C	LILRB1	P10321	Q8NHL6	Liana_v0.1.12
HLA-C	NOTCH4	P10321	Q99466	Liana_v0.1.12
TGFB3	ACVR1B_TGFBR2	P10600	COMPLEX:P36896_P37173	Liana_v0.1.12
TGFB3	TGFBR1_TGFBR2	P10600	COMPLEX:P36897_P37173	Liana_v0.1.12;Cpdb_v4.1
TGFB3	ACVR1_TGFBR1_TGFBR2	P10600	COMPLEX:P36897_P37173_Q04771	Liana_v0.1.12
TGFB3	ACVR1_TGFBR2	P10600	COMPLEX:P37173_Q04771	Liana_v0.1.12;Cpdb_v4.1
TGFB3	ACVR1C_TGFBR2	P10600	COMPLEX:P37173_Q8NER5	Liana_v0.1.12
TGFB3	ITGB3	P10600	P05106	Liana_v0.1.12
TGFB3	ITGB1	P10600	P05556	Liana_v0.1.12
TGFB3	ITGB5	P10600	P18084	Liana_v0.1.12
TGFB3	ITGB6	P10600	P18564	Liana_v0.1.12
TGFB3	ACVRL1	P10600	P37023	Liana_v0.1.12
TGFB3	TGFBR3	P10600	Q03167	Liana_v0.1.12;Cpdb_v4.1
CD28	CD80	P10747	P33681	Liana_v0.1.12;Cpdb_v4.1
CD28	CD86	P10747	P42081	Liana_v0.1.12;Cpdb_v4.1
ACE	BDKRB2	P12821	P30411	Liana_v0.1.12
ACE	AGTR2	P12821	P50052	Liana_v0.1.12
CDH1	ITGA2_ITGB1	P12830	COMPLEX:P05556_P17301	Liana_v0.1.12
CDH1	ITGAE_ITGB7	P12830	COMPLEX:P26010_P38570	Liana_v0.1.12
CDH1	LRP5	P12830	O75197	Liana_v0.1.12
CDH1	EGFR	P12830	P00533	Liana_v0.1.12
CDH1	IGF1R	P12830	P08069	Liana_v0.1.12
CDH1	PTPRF	P12830	P10586	Liana_v0.1.12
CDH1	CDH2	P12830	P19022	Liana_v0.1.12
CDH1	ERBB3	P12830	P21860	Liana_v0.1.12
CDH1	PTPRM	P12830	P28827	Liana_v0.1.12
CDH1	KLRG1	P12830	Q96E93	Liana_v0.1.12;Cpdb_v4.1
TDGF1	ACVR2A	P13385	P27037	Liana_v0.1.12
TDGF1	GPC1	P13385	P35052	Liana_v0.1.12
TDGF1	ACVR1B	P13385	P36896	Liana_v0.1.12
TDGF1	ACVR2B	P13385	Q13705	Liana_v0.1.12
TDGF1	ACVR1C	P13385	Q8NER5	Liana_v0.1.12
NCAM1	NCAM2	P13591	O15394	Liana_v0.1.12
NCAM1	FGFR1	P13591	P11362	Liana_v0.1.12
NCAM1	FGFR2	P13591	P21802	Liana_v0.1.12
NCAM1	PTPRZ1	P13591	P23471	Liana_v0.1.12
NCAM1	GFRA1	P13591	P56159	Liana_v0.1.12
NCAM1	ROBO3	P13591	Q96MS0	Liana_v0.1.12
NCAM1	ROBO1	P13591	Q9Y6N7	Liana_v0.1.12
ICAM2	ITGAM_ITGB2	P13598	COMPLEX:P05107_P11215	Liana_v0.1.12
ICAM2	ITGAL_ITGB2	P13598	COMPLEX:P05107_P20701	Liana_v0.1.12
CEACAM1	EGFR	P13688	P00533	Liana_v0.1.12
CEACAM1	HAVCR2	P13688	Q8TDQ0	Liana_v0.1.12
HLA-E	CD8B2	P13747	A6NJW9	Liana_v0.1.12
HLA-E	KLRC1_KLRD1	P13747	COMPLEX:P26715_Q13241	Liana_v0.1.12
HLA-E	KLRC2_KLRD1	P13747	COMPLEX:P26717_Q13241	Liana_v0.1.12
HLA-E	KLRC3_KLRD1	P13747	COMPLEX:Q07444_Q13241	Liana_v0.1.12
HLA-E	CD8A	P13747	P01732	Liana_v0.1.12
HLA-E	CD8B	P13747	P10966	Liana_v0.1.12
HLA-E	KLRK1	P13747	P26718	Liana_v0.1.12
HLA-E	KIR3DL1	P13747	P43629	Liana_v0.1.12
HLA-DRB4	CD4	P13762	P01730	Liana_v0.1.12
HLA-DRB4	LAG3	P13762	P18627	Liana_v0.1.12
HLA-DOB	CD4	P13765	P01730	Liana_v0.1.12
SELL	PODXL	P14151	O00592	Liana_v0.1.12
SELL	MADCAM1	P14151	Q13477	Liana_v0.1.12
CD99	CD81	P14209	P60033	Liana_v0.1.12
CD99	CD99L2	P14209	Q8TCZ2	Liana_v0.1.12
CD99	PILRB	P14209	Q9UKJ0	Liana_v0.1.12
CD99	PILRA	P14209	Q9UKJ1	Liana_v0.1.12;Cpdb_v4.1
PLA2G2A	ITGB3	P14555	P05106	Liana_v0.1.12
PLA2G2A	ITGB1	P14555	P05556	Liana_v0.1.12
PLA2G2A	ITGAV	P14555	P06756	Liana_v0.1.12
PLA2G2A	ITGA5	P14555	P08648	Liana_v0.1.12
PLA2G2A	ITGA4	P14555	P13612	Liana_v0.1.12
CD1D	LILRB2	P15813	Q8N423	Liana_v0.1.12;Cpdb_v4.1
ST6GAL1	EGFR	P15907	P00533	Liana_v0.1.12
ST6GAL1	CD22	P15907	P20273	Liana_v0.1.12
SPN	SIGLEC1	P16150	Q9BZZ2	Liana_v0.1.12
SELE	CEACAM1	P16581	P13688	Liana_v0.1.12
SELE	CD44	P16581	P16070	Liana_v0.1.12;Cpdb_v4.1
SELE	GLG1	P16581	Q92896	Liana_v0.1.12
HLA-G	CD8B2	P17693	A6NJW9	Liana_v0.1.12
HLA-G	CD4	P17693	P01730	Liana_v0.1.12
HLA-G	CD8A	P17693	P01732	Liana_v0.1.12
HLA-G	CD8B	P17693	P10966	Liana_v0.1.12
HLA-G	KLRC1	P17693	P26715	Liana_v0.1.12
HLA-G	KIR3DL1	P17693	P43629	Liana_v0.1.12
HLA-G	KLRD1	P17693	Q13241	Liana_v0.1.12
HLA-G	LILRB2	P17693	Q8N423	Liana_v0.1.12
HLA-G	LILRB1	P17693	Q8NHL6	Liana_v0.1.12
HLA-G	KIR2DL4	P17693	Q99706	Liana_v0.1.12
CD58	CD2	P19256	P06729	Liana_v0.1.12;Cpdb_v4.1
VCAM1	ITGAD_ITGB2	P19320	COMPLEX:P05107_Q13349	Liana_v0.1.12
VCAM1	ITGA4_ITGB1	P19320	COMPLEX:P05556_P13612	Liana_v0.1.12
VCAM1	ITGA9_ITGB1	P19320	COMPLEX:P05556_Q13797	Liana_v0.1.12
VCAM1	ITGA4_ITGB7	P19320	COMPLEX:P13612_P26010	Liana_v0.1.12
HLA-DPA1	CD4	P20036	P01730	Liana_v0.1.12
HLA-DPA1	LAG3	P20036	P18627	Liana_v0.1.12
CD22	PTPRC	P20273	P08575	Liana_v0.1.12
EFNA1	EPHB6	P20827	O15197	Liana_v0.1.12
EFNA1	EPHA1	P20827	P21709	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHA2	P20827	P29317	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHA3	P20827	P29320	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHA8	P20827	P29322	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHA5	P20827	P54756	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHB1	P20827	P54762	Liana_v0.1.12
EFNA1	EPHA4	P20827	P54764	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHA7	P20827	Q15375	Liana_v0.1.12;Cpdb_v4.1
EFNA1	EPHA10	P20827	Q5JZY3	Liana_v0.1.12
EFNA1	EPHA6	P20827	Q9UF33	Liana_v0.1.12
KITLG	KIT	P21583	P10721	Liana_v0.1.12;Cpdb_v4.1
KITLG	EPOR	P21583	P19235	Liana_v0.1.12
MRC1	PTPRC	P22897	P08575	Liana_v0.1.12
MPZ	MPZL1	P25189	O95297	Liana_v0.1.12
HLA-DMA	CD4	P28067	P01730	Liana_v0.1.12
HLA-DMB	CD4	P28068	P01730	Liana_v0.1.12
CD34	SELL	P28906	P14151	Liana_v0.1.12
CD34	SELP	P28906	P16109	Liana_v0.1.12
CD40LG	ITGA2B_ITGB3	P29965	COMPLEX:P05106_P08514	Liana_v0.1.12
CD40LG	ITGAM_ITGB2	P29965	COMPLEX:P05107_P11215	Liana_v0.1.12
CD40LG	ITGA5_ITGB1	P29965	COMPLEX:P05556_P08648	Liana_v0.1.12
CD40LG	CD40	P29965	P25942	Liana_v0.1.12;Cpdb_v4.1
HLA-F	CD8B2	P30511	A6NJW9	Liana_v0.1.12
HLA-F	CD8A	P30511	P01732	Liana_v0.1.12
HLA-F	CD8B	P30511	P10966	Liana_v0.1.12
HLA-F	KIR3DL1	P30511	P43629	Liana_v0.1.12
HLA-F	KIR3DL2	P30511	P43630	Liana_v0.1.12
HLA-F	KIR3DS1	P30511	Q14943	Liana_v0.1.12
HLA-F	LILRB2	P30511	Q8N423	Liana_v0.1.12
HLA-F	LILRB1	P30511	Q8NHL6	Liana_v0.1.12
CEACAM8	CEACAM1	P31997	P13688	Liana_v0.1.12
L1CAM	ITGAV_ITGB3	P32004	COMPLEX:P05106_P06756	Liana_v0.1.12
L1CAM	ITGA5_ITGB1	P32004	COMPLEX:P05556_P08648	Liana_v0.1.12
L1CAM	ITGA4_ITGB7	P32004	COMPLEX:P13612_P26010	Liana_v0.1.12
L1CAM	EGFR	P32004	P00533	Liana_v0.1.12
L1CAM	ERBB2	P32004	P04626	Liana_v0.1.12
L1CAM	FGFR2	P32004	P21802	Liana_v0.1.12
L1CAM	ERBB3	P32004	P21860	Liana_v0.1.12
L1CAM	PTPRZ1	P32004	P23471	Liana_v0.1.12
L1CAM	EPHB2	P32004	P29323	Liana_v0.1.12
L1CAM	CNTN1	P32004	Q12860	Liana_v0.1.12
ICAM3	ITGAD_ITGB2	P32942	COMPLEX:P05107_Q13349	Liana_v0.1.12
ICAM3	ITGAL	P32942	P20701	Liana_v0.1.12
ICAM3	CLEC4M	P32942	Q9H2X3	Liana_v0.1.12;Cpdb_v4.1
CD80	CD28	P33681	P10747	Liana_v0.1.12
CD80	CTLA4	P33681	P16410	Liana_v0.1.12
SDC2	PTPRJ	P34741	Q12913	Liana_v0.1.12
BTC	EGFR_ERBB2	P35070	COMPLEX:P00533_P04626	Liana_v0.1.12
BTC	ERBB2_ERBB4	P35070	COMPLEX:P04626_Q15303	Liana_v0.1.12
BTC	ERBB3	P35070	P21860	Liana_v0.1.12;Cpdb_v4.1
CEACAM6	EGFR	P40199	P00533	Liana_v0.1.12
CEACAM6	CEACAM1	P40199	P13688	Liana_v0.1.12
CD96	PVR	P40200	P15151	Liana_v0.1.12
CD96	NECTIN1	P40200	Q15223	Liana_v0.1.12
CD200	CD200R1L	P41217	Q6Q8B3	Liana_v0.1.12
CD200	CD200R1	P41217	Q8TD46	Liana_v0.1.12;Cpdb_v4.1
TNFSF9	PVR	P41273	P15151	Liana_v0.1.12
TNFSF9	HLA-DPA1	P41273	P20036	Liana_v0.1.12
TNFSF9	TNFRSF9	P41273	Q07011	Liana_v0.1.12;Cpdb_v4.1
TNFSF9	IL13RA2	P41273	Q14627	Liana_v0.1.12
TNFSF9	ADGRG5	P41273	Q8IZF4	Liana_v0.1.12
CD86	CD28	P42081	P10747	Liana_v0.1.12
CD86	CTLA4	P42081	P16410	Liana_v0.1.12
GDF5	ACVR2A_BMPR1B	P43026	COMPLEX:O00238_P27037	Liana_v0.1.12;Cpdb_v4.1
GDF5	ACVR2B_BMPR1B	P43026	COMPLEX:O00238_Q13705	Liana_v0.1.12;Cpdb_v4.1
GDF5	BMPR1B_BMPR2	P43026	COMPLEX:O00238_Q13873	Liana_v0.1.12;Cpdb_v4.1
GDF5	ACVR2A_BMPR1A	P43026	COMPLEX:P27037_P36894	Liana_v0.1.12;Cpdb_v4.1
GDF5	ACVR2B_BMPR1A	P43026	COMPLEX:P36894_Q13705	Liana_v0.1.12;Cpdb_v4.1
GDF5	BMPR1A_BMPR2	P43026	COMPLEX:P36894_Q13873	Liana_v0.1.12
GDF5	ROR2	P43026	Q01974	Liana_v0.1.12
GDF5	ACVR1	P43026	Q04771	Liana_v0.1.12
BAG6	NCR3	P46379	O14931	Liana_v0.1.12;Cpdb_v4.1
FASLG	TNFRSF10B	P48023	O14763	Liana_v0.1.12
FASLG	TNFRSF6B	P48023	O95407	Liana_v0.1.12
FASLG	TNFRSF1A	P48023	P19438	Liana_v0.1.12
FASLG	FAS	P48023	P25445	Liana_v0.1.12;Cpdb_v4.1
FLT3LG	FLT3	P49771	P36888	Liana_v0.1.12;Cpdb_v4.1
TNFSF10	TNFRSF10A	P50591	O00220	Liana_v0.1.12;Cpdb_v4.1
TNFSF10	TNFRSF11B	P50591	O00300	Liana_v0.1.12
TNFSF10	TNFRSF10B	P50591	O14763	Liana_v0.1.12;Cpdb_v4.1
TNFSF10	TNFRSF10D	P50591	Q9UBN6	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA1	P52798	P21709	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA2	P52798	P29317	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA3	P52798	P29320	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA8	P52798	P29322	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA5	P52798	P54756	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA4	P52798	P54764	Liana_v0.1.12;Cpdb_v4.1
EFNA4	EPHA7	P52798	Q15375	Liana_v0.1.12;Cpdb_v4.1
