source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	database	source_transmembrane	source_peripheral	source_secreted	source_integrin	source_other	source_other_desc	source_Small_Molecule	target_transmembrane	target_peripheral	target_secreted	target_integrin	target_other	target_other_desc	target_Small_Molecule
ENTPD1	ADORA2A	P49961	P29274	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
ENTPD1	ADORA2B	P49961	P29275	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
ENTPD1	ADORA3	P49961	P0DMS8	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
CHAT	COMPLEX:CHRNB3_CHRNA2	P28329	COMPLEX:Q05901_Q15822	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	COMPLEX:CHRNB2_CHRNA5_CHRNA3	P28329	COMPLEX:P17787_P30532_P32297	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	COMPLEX:CHRNA5_CHRNB4_CHRNA3	P28329	COMPLEX:P30532_P30926_P32297	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	COMPLEX:CHRNB2_CHRNA4	P28329	COMPLEX:P17787_P43681	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	COMPLEX:CHRNA4_CHRNB3_CHRNA6	P28329	COMPLEX:P43681_Q05901_Q15825	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	COMPLEX:CHRNB4_CHRNB3_CHRNA6	P28329	COMPLEX:P30926_Q05901_Q15825	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRNA1	P28329	P02708	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRNA7	P28329	P36544	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRM1	P28329	P11229	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRM2	P28329	P08172	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRM3	P28329	P20309	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRM4	P28329	P08173	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CHAT	CHRM5	P28329	P08912	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
COMPLEX:INHBA_INHBB	COMPLEX:ACVR2A_ACVR1	COMPLEX:P08476_P09529	COMPLEX:P27037_Q04771	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:INHBA_INHBB	COMPLEX:ACVR1_ACVR2B	COMPLEX:P08476_P09529	COMPLEX:Q04771_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:INHBA_INHBB	COMPLEX:ACVR2A_ACVR1B	COMPLEX:P08476_P09529	COMPLEX:P27037_P36896	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:INHBA_INHBB	COMPLEX:ACVR1B_ACVR2B	COMPLEX:P08476_P09529	COMPLEX:P36896_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:INHBA_INHBB	COMPLEX:ACVR2A_ACVR1C	COMPLEX:P08476_P09529	COMPLEX:P27037_Q8NER5	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:INHBA_INHBB	COMPLEX:ACVR2B_ACVR1C	COMPLEX:P08476_P09529	COMPLEX:Q13705_Q8NER5	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ADIPOQ	COMPLEX:ADIPOR2_ADIPOR1	Q15848	COMPLEX:Q86V24_Q96A54	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ADM2	COMPLEX:RAMP2_CALCRL	Q7Z4H4	COMPLEX:O60895_Q16602	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ADM2	COMPLEX:RAMP3_CALCRL_GPER1	Q7Z4H4	COMPLEX:O60896_Q16602_Q99527	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ADM	COMPLEX:RAMP3_CALCRL_GPER1	P35318	COMPLEX:O60896_Q16602_Q99527	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ADM	RAMP3	P35318	O60896	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGRN	COMPLEX:MUSK_LRP4	O00468	COMPLEX:O15146_O75096	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
AGRN	NCAM1	O00468	P13591	CellPhoneDB_v4	True	False	True	False	False		na	True	False	True	False	False		na
AGRN	PTPRS	O00468	Q13332	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
AGRP	MC3R	O00253	P41968	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGRP	MC4R	O00253	P32245	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ALB	COMPLEX:FCGRT_B2M	P02768	COMPLEX:P55899_P61769	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CYP11B2	NR3C1	P19099	P04150	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
CYP11B2	NR3C2	P19099	P08235	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
LRPAP1	SORT1	P30533	Q99523	CellPhoneDB_v4	False	False	False	False	False		na	True	False	False	False	False		na
CYP17A1	AR	P05093	P10275	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
HSD17B6	NR1H4	O14756	Q96RI1	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
NPPA	NPR1	P01160	P16066	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ANGPT1	TEK	Q15389	Q02763	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
ANGPT2	TEK	O15123	Q02763	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
ANGPT4	TEK	Q9Y264	Q02763	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
AGT	AGTR1	P01019	P30556	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AGT	AGTR2	P01019	P50052	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ANXA1	FPR2	P04083	P25090	CellPhoneDB_v4	False	True	True	False	False		na	True	False	False	False	False		na
ANXA1	FPR3	P04083	P25089	CellPhoneDB_v4	False	True	True	False	False		na	True	False	False	False	False		na
APLN	APLNR	Q9ULZ1	P35414	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
APOA1	COMPLEX:CUBN_AMN	P02647	COMPLEX:O60494_Q9BXJ7	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
APOA1	COMPLEX:TYROBP_TREM2	P02647	COMPLEX:O43914_Q9NZC2	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
APOA2	COMPLEX:TYROBP_TREM2	P02652	COMPLEX:O43914_Q9NZC2	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
APOB	APOBR	P04114	Q0VD83	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
APOB	COMPLEX:TYROBP_TREM2	P04114	COMPLEX:O43914_Q9NZC2	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
APOE	COMPLEX:TYROBP_TREM2	P02649	COMPLEX:O43914_Q9NZC2	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
AREG	EGFR	P15514	P00533	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
ARTN	COMPLEX:RET_GFRA1	Q5T4W7	COMPLEX:P07949_P56159	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ARTN	COMPLEX:GFRA3_RET	Q5T4W7	COMPLEX:O60609_P07949	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ASIP	MC1R	P42127	Q01726	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
ALDH1A1	COMPLEX:RARA_CRABP2	P00352	COMPLEX:P10276_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RARA_RXRA_CRABP2	P00352	COMPLEX:P10276_P19793_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RARB_CRABP2	P00352	COMPLEX:P10826_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RARB_RXRB_CRABP2	P00352	COMPLEX:P10826_P28702_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RARG_CRABP2	P00352	COMPLEX:P13631_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RARG_CRABP2_RXRG	P00352	COMPLEX:P13631_P29373_P48443	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RXRA_CRABP2	P00352	COMPLEX:P19793_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:RXRB_CRABP2	P00352	COMPLEX:P28702_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	COMPLEX:CRABP2_RXRG	P00352	COMPLEX:P29373_P48443	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A1	RORB	P00352	Q92753	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RARA_CRABP2	O94788	COMPLEX:P10276_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RARA_RXRA_CRABP2	O94788	COMPLEX:P10276_P19793_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RARB_CRABP2	O94788	COMPLEX:P10826_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RARB_RXRB_CRABP2	O94788	COMPLEX:P10826_P28702_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RARG_CRABP2	O94788	COMPLEX:P13631_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RARG_CRABP2_RXRG	O94788	COMPLEX:P13631_P29373_P48443	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RXRA_CRABP2	O94788	COMPLEX:P19793_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:RXRB_CRABP2	O94788	COMPLEX:P28702_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	COMPLEX:CRABP2_RXRG	O94788	COMPLEX:P29373_P48443	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A2	RORB	O94788	Q92753	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RARA_CRABP2	P47895	COMPLEX:P10276_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RARA_RXRA_CRABP2	P47895	COMPLEX:P10276_P19793_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RARB_CRABP2	P47895	COMPLEX:P10826_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RARB_RXRB_CRABP2	P47895	COMPLEX:P10826_P28702_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RARG_CRABP2	P47895	COMPLEX:P13631_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RARG_CRABP2_RXRG	P47895	COMPLEX:P13631_P29373_P48443	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RXRA_CRABP2	P47895	COMPLEX:P19793_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:RXRB_CRABP2	P47895	COMPLEX:P28702_P29373	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	COMPLEX:CRABP2_RXRG	P47895	COMPLEX:P29373_P48443	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
ALDH1A3	RORB	P47895	Q92753	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
BAG6	NCR3	P46379	O14931	CellPhoneDB_v4	False	True	False	False	False		na	True	False	False	False	False		na
BDNF	NTRK2	P23560	Q16620	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BDNF	SORT1	P23560	Q99523	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BDNF	NGFR	P23560	P08138	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP10	COMPLEX:ACVR2A_ACVRL1	O95393	COMPLEX:P27037_P37023	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP10	COMPLEX:ACVRL1_BMPR2	O95393	COMPLEX:P37023_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP15	COMPLEX:BMPR1B_BMPR2	O95972	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP2	COMPLEX:BMPR1A_BMPR2	P12643	COMPLEX:P36894_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP2	COMPLEX:BMPR1B_BMPR2	P12643	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP2	COMPLEX:ACVR2A_BMPR1A	P12643	COMPLEX:P27037_P36894	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP2	COMPLEX:BMPR1A_ACVR2B	P12643	COMPLEX:P36894_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP2	COMPLEX:BMPR1B_ACVR2A	P12643	COMPLEX:O00238_P27037	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP2	COMPLEX:BMPR1B_ACVR2B	P12643	COMPLEX:O00238_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP4	COMPLEX:BMPR1A_BMPR2	P12644	COMPLEX:P36894_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP4	COMPLEX:BMPR1B_BMPR2	P12644	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP4	COMPLEX:ACVR2A_BMPR1A	P12644	COMPLEX:P27037_P36894	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP4	COMPLEX:BMPR1A_ACVR2B	P12644	COMPLEX:P36894_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP4	COMPLEX:BMPR1B_ACVR2A	P12644	COMPLEX:O00238_P27037	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP4	COMPLEX:BMPR1B_ACVR2B	P12644	COMPLEX:O00238_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:ACVR2A_ACVR1	P22003	COMPLEX:P27037_Q04771	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:ACVR1_ACVR2B	P22003	COMPLEX:Q04771_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:ACVR1_BMPR2	P22003	COMPLEX:Q04771_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:BMPR1A_BMPR2	P22003	COMPLEX:P36894_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:BMPR1B_BMPR2	P22003	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:ACVR2A_BMPR1A	P22003	COMPLEX:P27037_P36894	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:BMPR1A_ACVR2B	P22003	COMPLEX:P36894_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:BMPR1B_ACVR2A	P22003	COMPLEX:O00238_P27037	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP5	COMPLEX:BMPR1B_ACVR2B	P22003	COMPLEX:O00238_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:ACVR2A_ACVR1	P22004	COMPLEX:P27037_Q04771	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:ACVR1_ACVR2B	P22004	COMPLEX:Q04771_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:ACVR1_BMPR2	P22004	COMPLEX:Q04771_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:BMPR1A_BMPR2	P22004	COMPLEX:P36894_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:BMPR1B_BMPR2	P22004	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:ACVR2A_BMPR1A	P22004	COMPLEX:P27037_P36894	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:BMPR1A_ACVR2B	P22004	COMPLEX:P36894_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:BMPR1B_ACVR2A	P22004	COMPLEX:O00238_P27037	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP6	COMPLEX:BMPR1B_ACVR2B	P22004	COMPLEX:O00238_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:ACVR2A_ACVR1	P18075	COMPLEX:P27037_Q04771	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:ACVR1_ACVR2B	P18075	COMPLEX:Q04771_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:ACVR1_BMPR2	P18075	COMPLEX:Q04771_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:BMPR1A_BMPR2	P18075	COMPLEX:P36894_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:BMPR1B_BMPR2	P18075	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:ACVR2A_BMPR1A	P18075	COMPLEX:P27037_P36894	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:BMPR1A_ACVR2B	P18075	COMPLEX:P36894_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:BMPR1B_ACVR2A	P18075	COMPLEX:O00238_P27037	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP7	COMPLEX:BMPR1B_ACVR2B	P18075	COMPLEX:O00238_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:ACVR2A_ACVR1	Q7Z5Y6	COMPLEX:P27037_Q04771	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:ACVR1_ACVR2B	Q7Z5Y6	COMPLEX:Q04771_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:ACVR1_BMPR2	Q7Z5Y6	COMPLEX:Q04771_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:BMPR1A_BMPR2	Q7Z5Y6	COMPLEX:P36894_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:BMPR1B_BMPR2	Q7Z5Y6	COMPLEX:O00238_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:ACVR2A_BMPR1A	Q7Z5Y6	COMPLEX:P27037_P36894	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:BMPR1A_ACVR2B	Q7Z5Y6	COMPLEX:P36894_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:BMPR1B_ACVR2A	Q7Z5Y6	COMPLEX:O00238_P27037	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BMP8A	COMPLEX:BMPR1B_ACVR2B	Q7Z5Y6	COMPLEX:O00238_Q13705	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
COMPLEX:BMP15_GDF2	COMPLEX:BMPR1B_ACVR1B_BMPR2	COMPLEX:O95972_Q9UK05	COMPLEX:O00238_P36896_Q13873	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
BST2	LILRA4	Q10589	P59901	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
BTC	ERBB4	P35070	Q15303	CellPhoneDB_v4	True	False	True	False	False		na	True	False	False	False	False		na
BTC	EGFR	P35070	P00533	CellPhoneDB_v4	True	False	True	False	False		na	True	False	True	False	False		na
BTC	ERBB3	P35070	P21860	CellPhoneDB_v4	True	False	True	False	False		na	True	False	True	False	False		na
CDH1	KLRG1	P12830	Q96E93	CellPhoneDB_v4	True	False	False	False	False		na	True	False	False	False	False		na
CALCA	CALCR	P01258	P30988	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CALCA	COMPLEX:RAMP1_CALCRL	P01258	COMPLEX:O60894_Q16602	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CALCB	COMPLEX:RAMP1_CALCRL	P10092	COMPLEX:O60894_Q16602	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CYP27B1	VDR	O15528	P11473	CellPhoneDB_v4	False	False	False	False	False		na	False	False	False	False	False		na
CCK	CCKAR	P06307	P32238	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCK	CCKBR	P06307	P32239	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL1	CCR8	P22362	P51685	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL11	ACKR2	P51671	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL11	CCR3	P51671	P51677	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL11	DPP4	P51671	P27487	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
CCL13	ACKR2	Q99616	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL13	CCR2	Q99616	P41597	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL13	CCR3	Q99616	P51677	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL14	ACKR2	Q16627	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL14	CCR1	Q16627	P32246	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL14	CCR3	Q16627	P51677	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL15	CCR1	Q16663	P32246	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL15	CCR3	Q16663	P51677	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL16	CCR1	O15467	P32246	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL16	CCR2	O15467	P41597	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL16	CCR8	O15467	P51685	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL16	HRH4	O15467	Q9H3N8	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL17	CCR4	Q92583	P51679	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL18	CCR8	P55774	P51685	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
