"source" "target" "source_genesymbol" "target_genesymbol" "category_intercell_source" "database_intercell_source" "category_intercell_target" "database_intercell_target" "sources" "references"
"13" "O00548" "Q9UM47" "DLL1" "NOTCH3" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CancerCellMap;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;talklr" "Baccin2019:11006133;Baccin2019:12482954;CancerCellMap:11006133;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:12482954;Cellinker:11006133;Cellinker:12482954;Cellinker:22353464;HPRD:11006133;HPRD:12482954;ICELLNET:21685328;LRdb:11;LRdb:12482954;NetPath:11006133;SIGNOR:11006133;connectomeDB2020:11006133;connectomeDB2020:12482954"
"14" "O00592" "P14151" "PODXL" "SELL" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellPhoneDB;CellTalkDB;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr" "CellTalkDB:9625756;HPRD:9625756;LRdb:9625756;connectomeDB2020:9625756"
"15" "O14511" "COMPLEX:P04626_P21860" "NRG2" "ERBB2_ERBB3" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker" "Cellinker:9168114;Cellinker:9168115"
"16" "O14511" "COMPLEX:P04626_Q15303" "NRG2" "ERBB2_ERBB4" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker" "Cellinker:9168114;Cellinker:9168115"
"17" "O14514" "Q9BZR6" "ADGRB1" "RTN4R" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellTalkDB" "connectomeDB2020" "connectomeDB2020:30477585"
"18" "O14672" "O95858" "ADAM10" "TSPAN15" "cell_surface_ligand" "connectomeDB2020" "receptor" "CellTalkDB" "CellTalkDB;Cellinker;IntAct" "CellTalkDB:23035126;Cellinker:23035126;IntAct:23091066;IntAct:26686862"
"19" "O14672" "O95859" "ADAM10" "TSPAN12" "cell_surface_ligand" "connectomeDB2020" "receptor" "CellTalkDB" "CellTalkDB" "CellTalkDB:19587294"
"20" "O14672" "P08581" "ADAM10" "MET" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellTalkDB" "CellTalkDB:22689693"
"21" "O14672" "P08887" "ADAM10" "IL6R" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "CellTalkDB" "CellTalkDB:21454673"
"22" "O14672" "P16070" "ADAM10" "CD44" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellTalkDB;SIGNOR" "CellTalkDB:18971959;SIGNOR:26284334"
"23" "O14672" "P29320" "ADAM10" "EPHA3" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr" "Baccin2019:16239146;CellTalkDB:16239146;HPRD:16239146;LRdb:16239146;connectomeDB2020:16239146"
"24" "O14672" "P30530" "ADAM10" "AXL" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;iTALK;talklr" "CellTalkDB:7822279;HPRD:16227584;HPRD:7822279;LRdb:7822279"
"25" "O14672" "P46531" "ADAM10" "NOTCH1" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "ACSN;CellTalkDB;Cellinker;LRdb;SIGNOR;Wang" "ACSN:19601831;ACSN:19704010;ACSN:19726682;CellTalkDB:22399336;Cellinker:22399336;LRdb:22399336;SIGNOR:28624438"
"26" "O14672" "Q04721" "ADAM10" "NOTCH2" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "ACSN;CellTalkDB;SignaLink3;Wang" "ACSN:19601831;ACSN:19704010;ACSN:19726682;CellTalkDB:24842903;SignaLink3:10423016;SignaLink3:23331499"
"27" "O14672" "Q92823" "ADAM10" "NRCAM" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellTalkDB" "CellTalkDB:30833305"
"28" "O14672" "Q96FV3" "ADAM10" "TSPAN17" "cell_surface_ligand" "connectomeDB2020" "receptor" "CellTalkDB" "CellTalkDB;Cellinker" "CellTalkDB:23035126;Cellinker:23035126"
"29" "O14672" "Q9H1Z9" "ADAM10" "TSPAN10" "cell_surface_ligand" "connectomeDB2020" "receptor" "CellTalkDB" "CellTalkDB;Cellinker" "CellTalkDB:28687716;Cellinker:23035126"
"30" "O14672" "Q9NZC2" "ADAM10" "TREM2" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;CellTalkDB" "CellTalkDB" "CellTalkDB:28923481"
"31" "O14788" "O00300" "TNFSF11" "TNFRSF11B" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;IntAct;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:11733492;Baccin2019:12221720;Baccin2019:9520411;Baccin2019:9568710;CellTalkDB:11733492;Cellinker:11733492;Cellinker:12221720;Cellinker:9520411;Cellinker:9568710;HPMR:9568710;HPRD:12221720;HPRD:9520411;ICELLNET:11239407;IntAct:22664871;LRdb:11733492;LRdb:12221720;LRdb:9520411;LRdb:9568710;NetPath:14741739;NetPath:9568710;SIGNOR:11733492;connectomeDB2020:11733492;connectomeDB2020:12221720;connectomeDB2020:9520411;connectomeDB2020:9568710"
"32" "O14788" "Q9BXB1" "TNFSF11" "LGR4" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "CellTalkDB" "CellTalkDB:27064449"
"33" "O14788" "Q9Y6Q6" "TNFSF11" "TNFRSF11A" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;IntAct;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr" "Baccin2019:11581298;Baccin2019:9367155;CellTalkDB:11581298;Cellinker:11581298;Cellinker:9367155;HPMR:11581298;HPMR:15110169;HPRD:9367155;ICELLNET:11239407;IntAct:23333834;LRdb:11581298;LRdb:94;NetPath:14741739;NetPath:20483727;NetPath:9520411;SIGNOR:12897775;connectomeDB2020:11581298;connectomeDB2020:9367155"
"34" "O14944" "COMPLEX:P00533_P04626" "EREG" "EGFR_ERBB2" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker" "Cellinker:8626392;Cellinker:9419975"
"35" "O14944" "COMPLEX:P04626_Q15303" "EREG" "ERBB2_ERBB4" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker" "Cellinker:9419975"
"36" "O14944" "P21860" "EREG" "ERBB3" "cell_surface_ligand" "CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "CellCall;CellTalkDB;Fantom5_LRdb;LRdb;SIGNOR;STRING_talklr;iTALK;talklr" "CellTalkDB:32196115;SIGNOR:16829981;SIGNOR:22891299"
"37" "O43184" "P05556" "ADAM12" "ITGB1" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "Adhesome;CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "Adhesome:15242759;CellTalkDB:10944520;LRdb:10944520;connectomeDB2020:10944520"
"38" "O43184" "Q13797" "ADAM12" "ITGA9" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "CellTalkDB:10944520;LRdb:10944520;connectomeDB2020:10944520"
"39" "O43508" "P28908" "TNFSF12" "TNFRSF8" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellTalkDB;LRdb;UniProt_LRdb" "CellTalkDB:32196115"
"40" "O43508" "Q86VB7" "TNFSF12" "CD163" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;CellTalkDB" "NetPath;connectomeDB2020" "NetPath:17548657;connectomeDB2020:19473660"
"41" "O43508" "Q93038" "TNFSF12" "TNFRSF25" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;NetPath;Ramilowski2015;UniProt_LRdb;Wang;iTALK;talklr" "CellTalkDB:11094155;Cellinker:11094155;HPRD:11094155;LRdb:11094155;NetPath:11094155"
"42" "O43508" "Q9NP84" "TNFSF12" "TNFRSF12A" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Lit-BM-17;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;scConnect;talklr" "Baccin2019:11728344;Baccin2019:12529173;Baccin2019:12787562;CellTalkDB:11728344;Cellinker:11728344;Cellinker:12529173;Cellinker:12787562;HPMR:12787562;HPRD:11728344;HPRD:12529173;ICELLNET:11239407;InnateDB:23750247;LRdb:11728344;LRdb:12529173;LRdb:12787562;Lit-BM-17:23438059;NetPath:16526941;connectomeDB2020:11728344;connectomeDB2020:12529173;connectomeDB2020:12787562"
"43" "O43557" "O95407" "TNFSF14" "TNFRSF6B" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;ICELLNET;CellTalkDB" "CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPMR;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;IntAct;LRdb;Ramilowski2015;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "CellTalkDB:11994433;Cellinker:11994433;HPMR:14697332;HPRD:11994433;ICELLNET:11239407;IntAct:21300286;IntAct:25087510;LRdb:11994433;connectomeDB2020:11994433"
"44" "O43557" "P36941" "TNFSF14" "LTBR" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr" "Baccin2019:10318773;Baccin2019:10799510;Baccin2019:9462508;CellTalkDB:10318773;Cellinker:10318773;Cellinker:10799510;Cellinker:9462508;HPMR:10799510;HPRD:10318773;HPRD:10799510;HPRD:9462508;ICELLNET:11239407;InnateDB:12571250;LRdb:10318773;LRdb:10799510;LRdb:9462508;Lit-BM-17:12571250;Lit-BM-17:26977880;SPIKE:9739048;connectomeDB2020:10318773;connectomeDB2020:10799510;connectomeDB2020:9462508"
"45" "O43557" "Q92956" "TNFSF14" "TNFRSF14" "cell_surface_ligand" "connectomeDB2020;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;KEGG-MEDICUS;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr" "Baccin2019:10894944;Baccin2019:11390428;Baccin2019:9462508;CellTalkDB:10894944;Cellinker:10894944;Cellinker:11390428;Cellinker:9462508;HPMR:10894944;HPRD:11390428;HPRD:9462508;ICELLNET:11239407;InnateDB:11164894;IntAct:10318773;IntAct:26977880;IntAct:9462508;LRdb:10894944;LRdb:11390428;LRdb:9462508;Lit-BM-17:10318773;Lit-BM-17:11390428;Lit-BM-17:26977880;Lit-BM-17:9462508;SIGNOR:10894944;connectomeDB2020:10894944;connectomeDB2020:11390428;connectomeDB2020:9462508"
"46" "O75077" "P05106" "ADAM23" "ITGB3" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr" "LRdb:10749942;connectomeDB2020:10749942"
"47" "O75077" "P08648" "ADAM23" "ITGA5" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr" "LRdb:10749942;connectomeDB2020:10749942"
"48" "O75077" "P13612" "ADAM23" "ITGA4" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "connectomeDB2020" "connectomeDB2020:28913673"
"49" "O75078" "P13612" "ADAM11" "ITGA4" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "connectomeDB2020" "connectomeDB2020:28913673"
"50" "O75144" "P10747" "ICOSLG" "CD28" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;ICELLNET;Wojtowicz2020;connectomeDB2020" "Cellinker:32589946;ICELLNET:21530327;connectomeDB2020:21530327;connectomeDB2020:23470321"
"51" "O75144" "P16410" "ICOSLG" "CTLA4" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;ICELLNET;Wojtowicz2020;connectomeDB2020" "Cellinker:32589946;ICELLNET:21530327;connectomeDB2020:21530327"
"52" "O75144" "Q9Y6W8" "ICOSLG" "ICOS" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HPRD;ICELLNET;IntAct;LRdb;NetPath;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK" "BioGRID:11956294;CellChatDB:23954143;CellPhoneDB:23954143;CellTalkDB:23954143;Cellinker:21955433;Cellinker:23954143;Cellinker:25769613;Cellinker:29879883;HPRD:10657606;HPRD:11023515;HPRD:11956294;ICELLNET:14599850;ICELLNET:23954143;IntAct:11956294;IntAct:16951355;NetPath:10657606;connectomeDB2020:14599850;connectomeDB2020:23954143"
"53" "O75326" "COMPLEX:P05556_P56199" "SEMA7A" "ITGA1_ITGB1" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "adhesion" "CellPhoneDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR" "CellChatDB:22325954;CellPhoneDB:22325954;Cellinker:12879062;Cellinker:22325954;Cellinker:30568033;ICELLNET:17671519;SIGNOR:17377534"
"54" "O75326" "O60486" "SEMA7A" "PLXNC1" "cell_surface_ligand" "connectomeDB2020;CellChatDB;CellPhoneDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:1052099510520990;CellChatDB:27533782;CellPhoneDB:22325954;CellTalkDB:10520995;Cellinker:10520995;Cellinker:26633812;Cellinker:27533782;HPMR:10520995;HPRD:10520995;ICELLNET:10520995;ICELLNET:17671519;InnateDB:20727575;IntAct:20727575;LRdb:10520995;Lit-BM-17:20727575;SIGNOR:10520995;connectomeDB2020:10520995"
"55" "O75888" "O00300" "TNFSF13" "TNFRSF11B" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr" "Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119"
"56" "O75888" "O14836" "TNFSF13" "TNFRSF13B" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:1095664610956640;CellTalkDB:10956646;Cellinker:10956646;HPMR:10956646;HPRD:10956646;ICELLNET:11239407;LRdb:10956646;SIGNOR:10956646;connectomeDB2020:10956646"
"57" "O75888" "P19438" "TNFSF13" "TNFRSF1A" "cell_surface_ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr" "Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119"
